sku;name
se2111285215945551;1037 - Ninguna - $6.5
si2111112362332674;1047 - S, 1048 - M, 1049 - L - $16
st2201047677353267;1039 - Unitalla - $4.5
sw2108203666937416;1031 - M, 1032 - L - $22
sw2109271112278170;1033 - S, 1034 - M - $20
sw2110133431443337;1050 - S, 1051 - M, 1052 - L - $15
sw2110264324933017;1041 - S, 1042 - M, 1043 - L - $20
sw2110298816633911;1007 - S, 1008 - M, 1009 - L - $25
sw2110305048855821;0992 - S, 0993 - M, 0994 - L - $22
sw2111042084137617;1053 - S, 1054 - M, 1055 - L - $26
sw2111122323533395;1056 - S, 1057 - M, 1058 - L - $24
sw2111136055654267;1004 - S, 1005 - M, 1006 - L - $12
sw2111138793327397;1029 - M, 1030 - L - $18
sw2111164246707857;1016 - S, 1017 - M, 1018 - L - $22
sw2111187610023055;1025 - S, 1026 - M - $22
sw2111193822166632;1019 - S, 1020 - M, 1021 - L - $26
sw2111198661263286;0998 - S, 0999 - M, 1000 - L - $20
sw2111202146745684;1059 - S, 1060 - M, 1061 - L - $18
sw2111221811419177;0995 - S, 0996 - M, 0997 - L - $24
sw2111273708370440;1022 - S, 1023 - M, 1024 - L - $16
swjacket44210609195;1036 - L - $42
swpanty25210517702;1040 - S - $8.5
swpanty25210617706;1038 - S - $9.3
swsexy23210112626;1001 - S, 1002 - M, 1003 - L - $16
swswim03201104007;1027 - S, 1028 - L - $24
swswim03201125525;0989 - S, 0990 - M, 0991 - L - $15
swswim23210125120;1013 - S, 1014 - M, 1015 - L - $24
swswim23210125133;1010 - S, 1011 - M, 1012 - L - $26
swswim23210125884;1044 - S, 1045 - M, 1046 - L - $24
swswim23210412101;0986 - S, 0987 - M, 0988 - L - $22
swswim25210510210;1062 - S, 1063 - M, 1064 - L - $15
swvest07210506083;1035 - S - $6
